resource_id,resource_type,action,risk_level,waste_score,recommendation,estimated_savings,monthly_cost,annual_cost,risk_score,risk_explanation,execution_steps,business_justification,technical_justification,expected_outcome
res-healthy-041,healthy,manual_review,medium,8.1,Manual Review Required,1096.14,365.38,4384.56,40,"Resource res-healthy-041 has a predetermined risk score of 40 (medium risk) due to: production environment, identified resource owner. Although the waste score is 8.1 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,096.14 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.1.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.1. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-042,healthy,manual_review,medium,6.2,Manual Review Required,1009.44,336.47,4037.64,60,"Resource res-healthy-042 has a predetermined risk score of 60 (medium risk) due to: production environment, Auto Scaling Group membership, identified resource owner. Although the waste score is 6.2 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,009.44 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.2.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.2. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-043,healthy,manual_review,medium,8.5,Manual Review Required,714.48,238.15,2857.8,60,"Resource res-healthy-043 has a predetermined risk score of 60 (medium risk) due to: production environment, recent activity (20 days ago). Although the waste score is 8.5 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $714.48 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.5.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.5. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-044,healthy,manual_review,medium,8.7,Manual Review Required,1229.1,409.7,4916.4,45,"Resource res-healthy-044 has a predetermined risk score of 45 (medium risk) due to: business-critical designation, load balancer attachment, recent activity (21 days ago), identified resource owner. Although the waste score is 8.7 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,229.10 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.7.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.7. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-045,healthy,manual_review,medium,6.6,Manual Review Required,973.8,324.6,3895.2,50,"Resource res-healthy-045 has a predetermined risk score of 50 (medium risk) due to: production environment, recent activity (13 days ago), identified resource owner. Although the waste score is 6.6 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $973.80 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.6.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.6. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-046,healthy,ignore,high,6.4,Do Not Remediate,0.0,348.01,4176.12,80,"Resource res-healthy-046 has a predetermined risk score of 80 (high risk) due to: production environment, business-critical designation, recent activity (19 days ago), identified resource owner. Although the waste score is 6.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 6.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 6.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-047,healthy,manual_review,medium,8.6,Manual Review Required,1024.8,341.6,4099.2,70,"Resource res-healthy-047 has a predetermined risk score of 70 (medium risk) due to: production environment, business-critical designation, identified resource owner. Although the waste score is 8.6 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,024.80 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.6.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.6. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-048,healthy,manual_review,medium,7.2,Manual Review Required,172.44,57.49,689.88,50,"Resource res-healthy-048 has a predetermined risk score of 50 (medium risk) due to: business-critical designation, Auto Scaling Group membership, recent activity (3 days ago), identified resource owner. Although the waste score is 7.2 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $172.44 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 7.2.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 7.2. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-049,healthy,manual_review,medium,6.3,Manual Review Required,578.16,192.72,2312.64,65,"Resource res-healthy-049 has a predetermined risk score of 65 (medium risk) due to: business-critical designation, Auto Scaling Group membership, load balancer attachment, recent activity (24 days ago), identified resource owner. Although the waste score is 6.3 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $578.16 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.3.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.3. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-050,healthy,ignore,high,9.2,Do Not Remediate,0.0,463.98,5567.76,95,"Resource res-healthy-050 has a predetermined risk score of 95 (high risk) due to: production environment, business-critical designation, load balancer attachment, recent activity (1 days ago), identified resource owner. Although the waste score is 9.2 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 9.2.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 9.2. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-051,healthy,ignore,high,7.5,Do Not Remediate,0.0,194.9,2338.8,90,"Resource res-healthy-051 has a predetermined risk score of 90 (high risk) due to: production environment, business-critical designation, recent activity (24 days ago). Although the waste score is 7.5 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 7.5.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 7.5. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-052,healthy,ignore,high,9.2,Do Not Remediate,0.0,66.93,803.16,95,"Resource res-healthy-052 has a predetermined risk score of 95 (high risk) due to: production environment, business-critical designation, load balancer attachment, recent activity (2 days ago), identified resource owner. Although the waste score is 9.2 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 9.2.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 9.2. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-053,healthy,ignore,high,8.4,Do Not Remediate,0.0,451.52,5418.24,100,"Resource res-healthy-053 has a predetermined risk score of 100 (high risk) due to: production environment, business-critical designation, Auto Scaling Group membership, recent activity (5 days ago). Although the waste score is 8.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 8.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 8.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-054,healthy,manual_review,medium,6.5,Manual Review Required,1040.76,346.91,4162.92,40,"Resource res-healthy-054 has a predetermined risk score of 40 (medium risk) due to: business-critical designation, recent activity (3 days ago). Although the waste score is 6.5 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,040.76 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.5.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.5. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-055,healthy,ignore,low,8.9,Safe To Remediate,0.0,154.37,1852.44,0,"Resource res-healthy-055 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 8.9 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 8.9.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 8.9. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-056,healthy,ignore,low,6.9,Safe To Remediate,0.0,495.3,5943.6,0,"Resource res-healthy-056 has a predetermined risk score of 0 (low risk) due to: recent activity (24 days ago), identified resource owner. Although the waste score is 6.9 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 6.9.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 6.9. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-057,healthy,ignore,high,8.8,Do Not Remediate,0.0,434.61,5215.32,80,"Resource res-healthy-057 has a predetermined risk score of 80 (high risk) due to: production environment, business-critical designation, recent activity (15 days ago), identified resource owner. Although the waste score is 8.8 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 8.8.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 8.8. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-058,healthy,ignore,high,8.0,Do Not Remediate,0.0,471.79,5661.48,95,"Resource res-healthy-058 has a predetermined risk score of 95 (high risk) due to: production environment, business-critical designation, load balancer attachment, recent activity (17 days ago), identified resource owner. Although the waste score is 8.0 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 8.0.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 8.0. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-059,healthy,ignore,low,8.3,Safe To Remediate,0.0,83.81,1005.72,10,"Resource res-healthy-059 has a predetermined risk score of 10 (low risk) due to: Auto Scaling Group membership, identified resource owner. Although the waste score is 8.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 8.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 8.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-060,healthy,ignore,low,8.4,Safe To Remediate,0.0,79.55,954.6,0,"Resource res-healthy-060 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 8.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 8.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 8.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-zombie-001,zombie,terminate,low,96.8,Safe To Remediate,891.72,74.31,891.72,0,"Resource res-zombie-001 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 96.8 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $891.72 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.8.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.8. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $891.72 in annual cloud costs.
res-zombie-002,zombie,terminate,low,97.3,Safe To Remediate,1348.08,112.34,1348.08,0,"Resource res-zombie-002 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.3 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,348.08 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.3.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.3. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,348.08 in annual cloud costs."
res-zombie-003,zombie,manual_review,medium,96.7,Manual Review Required,289.2,96.39,1156.68,50,"Resource res-zombie-003 has a predetermined risk score of 50 (medium risk) due to: production environment. Although the waste score is 96.7 with high waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $289.20 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 96.7.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'zombie', risk level 'medium', and waste score 96.7. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-zombie-004,zombie,terminate,low,97.6,Safe To Remediate,1164.72,97.06,1164.72,0,"Resource res-zombie-004 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.6 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,164.72 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.6.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.6. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,164.72 in annual cloud costs."
res-zombie-005,zombie,terminate,low,97.2,Safe To Remediate,1244.28,103.69,1244.28,0,Resource res-zombie-005 has a predetermined risk score of 0 (low risk). Waste score is 97.2 with high waste probability and limited operational dependencies detected.,Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,244.28 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.2.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.2. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,244.28 in annual cloud costs."
res-zombie-006,zombie,terminate,low,97.2,Safe To Remediate,471.12,39.26,471.12,0,"Resource res-zombie-006 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.2 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $471.12 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.2.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.2. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $471.12 in annual cloud costs.
res-zombie-007,zombie,terminate,low,96.7,Safe To Remediate,1184.16,98.68,1184.16,0,Resource res-zombie-007 has a predetermined risk score of 0 (low risk). Waste score is 96.7 with high waste probability and limited operational dependencies detected.,Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,184.16 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.7.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.7. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,184.16 in annual cloud costs."
res-zombie-008,zombie,terminate,low,96.6,Safe To Remediate,990.84,82.57,990.84,0,"Resource res-zombie-008 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 96.6 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $990.84 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.6.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.6. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $990.84 in annual cloud costs.
res-zombie-009,zombie,terminate,low,96.3,Safe To Remediate,1141.8,95.15,1141.8,0,"Resource res-zombie-009 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 96.3 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,141.80 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.3.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.3. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,141.80 in annual cloud costs."
res-zombie-010,zombie,terminate,low,96.9,Safe To Remediate,497.76,41.48,497.76,0,"Resource res-zombie-010 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 96.9 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $497.76 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.9.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.9. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $497.76 in annual cloud costs.
res-zombie-011,zombie,manual_review,medium,96.9,Manual Review Required,185.16,61.72,740.64,50,"Resource res-zombie-011 has a predetermined risk score of 50 (medium risk) due to: production environment. Although the waste score is 96.9 with high waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $185.16 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 96.9.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'zombie', risk level 'medium', and waste score 96.9. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-zombie-012,zombie,terminate,low,97.8,Safe To Remediate,906.48,75.54,906.48,20,"Resource res-zombie-012 has a predetermined risk score of 20 (low risk) due to: Auto Scaling Group membership. Although the waste score is 97.8 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $906.48 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.8.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.8. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $906.48 in annual cloud costs.
res-zombie-013,zombie,terminate,low,97.2,Safe To Remediate,971.16,80.93,971.16,0,"Resource res-zombie-013 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.2 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $971.16 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.2.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.2. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $971.16 in annual cloud costs.
res-zombie-014,zombie,terminate,low,97.6,Safe To Remediate,405.0,33.75,405.0,0,"Resource res-zombie-014 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.6 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $405.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.6.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.6. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $405.00 in annual cloud costs.
res-zombie-015,zombie,terminate,low,97.6,Safe To Remediate,1345.32,112.11,1345.32,0,Resource res-zombie-015 has a predetermined risk score of 0 (low risk). Waste score is 97.6 with high waste probability and limited operational dependencies detected.,Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,345.32 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.6.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.6. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,345.32 in annual cloud costs."
res-zombie-016,zombie,terminate,low,97.4,Safe To Remediate,1167.6,97.3,1167.6,30,"Resource res-zombie-016 has a predetermined risk score of 30 (low risk) due to: business-critical designation. Although the waste score is 97.4 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,167.60 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.4.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.4. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,167.60 in annual cloud costs."
res-zombie-017,zombie,terminate,low,96.5,Safe To Remediate,407.28,33.94,407.28,10,"Resource res-zombie-017 has a predetermined risk score of 10 (low risk) due to: Auto Scaling Group membership, identified resource owner. Although the waste score is 96.5 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $407.28 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.5.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.5. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $407.28 in annual cloud costs.
res-zombie-018,zombie,terminate,low,97.3,Safe To Remediate,594.36,49.53,594.36,0,"Resource res-zombie-018 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 97.3 with high waste probability, infrastructure dependencies may affect remediation safety.",Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $594.36 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.3.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.3. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $594.36 in annual cloud costs.
res-zombie-019,zombie,terminate,low,96.4,Safe To Remediate,1034.28,86.19,1034.28,0,Resource res-zombie-019 has a predetermined risk score of 0 (low risk). Waste score is 96.4 with high waste probability and limited operational dependencies detected.,Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $1,034.28 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 96.4.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 96.4. Execution will follow the defined step sequence with verification gates.","Successful execution is expected to eliminate idle spend and recover up to $1,034.28 in annual cloud costs."
res-zombie-020,zombie,terminate,low,97.6,Safe To Remediate,985.2,82.1,985.2,0,Resource res-zombie-020 has a predetermined risk score of 0 (low risk). Waste score is 97.6 with high waste probability and limited operational dependencies detected.,Create backup | Verify backup | Terminate instance,"Terminating this instance is expected to recover approximately $985.20 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 97.6.","The predetermined action 'terminate' follows the Planner rules engine based on resource type 'zombie', risk level 'low', and waste score 97.6. Execution will follow the defined step sequence with verification gates.",Successful execution is expected to eliminate idle spend and recover up to $985.20 in annual cloud costs.
res-seasonal-001,seasonal,manual_review,medium,13.4,Manual Review Required,264.66,88.22,1058.64,50,"Resource res-seasonal-001 has a predetermined risk score of 50 (medium risk) due to: business-critical designation, Auto Scaling Group membership, recent activity (2 days ago), identified resource owner. Although the waste score is 13.4 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $264.66 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 13.4.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'seasonal', risk level 'medium', and waste score 13.4. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-seasonal-002,seasonal,ignore,low,13.1,Safe To Remediate,0.0,111.46,1337.52,15,"Resource res-seasonal-002 has a predetermined risk score of 15 (low risk) due to: load balancer attachment, recent activity (15 days ago), identified resource owner. Although the waste score is 13.1 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 13.1.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'seasonal', risk level 'low', and waste score 13.1. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
